Symbol,Fund Name,Asset Class,Assets,Stock Price,% Change,Volume,Holdings,Open,Low,High,Close,Premkt. Price,Premkt. Chg%,Premkt. Close,Afterhr. Price,Afterhr. Chg%,Afterhr. Close,Category,52W Low,52W High,Avg. Volume,Rel. Volume,Gap (%),Chg. Open (%),Exp. Ratio,Issuer,Index,Inception,PE Ratio,Beta (5Y),RSI,RSI (W),RSI (M),ATR,Div. ($),Last Div.,Div. Yield,Div. Growth,Years,Payout Ratio,Payout Freq.,Ex-Div Date,Payment Date,Exchange,Region,Country,Leverage,Options,Shares,Change 1M,Change 3M,Change 6M,Change YTD,Change 1Y,Change 3Y,Change 5Y,Change 10Y,Change 15Y,Change 20Y,Return 1M,Return 3M,Return 6M,Return YTD,Return 1Y,Return 3Y,Return 5Y,Return 10Y,Return 15Y,Return 20Y,CAGR 1Y,CAGR 3Y,CAGR 5Y,CAGR 10Y,CAGR 15Y,CAGR 20Y,52W Low Chg,52W High Chg,ATH,ATH Chg (%),ATH Date,ATL,ATL Chg (%),ATL Date,Tags,50 MA,200 MA,20 MA,150 MA,20MA Chg %,50MA Chg %,150MA Chg %,200MA Chg %,CUSIP Number,ISIN Number
SPY,SPDR S&P 500 ETF Trust,Equity,636370160000,606.34,0.55%,46904621,505,605.92,605.36,607.82,603.05,605.77,0.45%,603.05,605.86,-0.08%,606.34,Large Blend,482.78,609.07,54918839,85.51%,0.48%,0.07%,0.09%,State Street,S&P 500,1993-01-22,28.08,1.01,61.70,62.62,72.24,7.12,7.07,1.97,1.17%,6.51%,15,32.72%,Quarterly,2024-12-20,2025-01-31,NYSEARCA,North America,United States,Long,Yes,1064982116,2.57%,3.89%,10.45%,3.46%,25.68%,38.44%,83.02%,198.57%,442.83%,419.22%,2.57%,4.24%,11.15%,3.46%,27.30%,44.68%,97.53%,255.69%,615.71%,657.02%,27.23%,13.10%,14.58%,13.53%,14.02%,10.65%,25.59%,-0.45%,609.07,-0.45%,2024-12-06,42.81,1316.25%,1993-02-18,,596.07,558.40,592.17,571.27,2.39%,1.72%,6.14%,8.59%,78462F103,US78462F1030
VOO,Vanguard S&P 500 ETF,Equity,611744700000,557.61,0.57%,4752858,507,557.19,556.73,558.93,554.46,556.98,0.45%,554.46,,,,Large Blend,443.75,559.96,6059338,78.46%,0.49%,0.08%,0.03%,Vanguard,S&P 500,2010-09-07,28.08,1.01,61.78,62.86,72.32,6.52,6.70,1.74,1.20%,5.45%,4,33.76%,Quarterly,2024-12-23,2024-12-26,NYSEARCA,North America,United States,Long,Yes,2663647948,2.31%,3.93%,10.52%,3.49%,25.79%,38.47%,83.17%,199.42%,,,2.63%,4.26%,11.21%,3.49%,27.44%,44.92%,97.85%,257.61%,,,27.38%,13.16%,14.62%,13.59%,,,25.66%,-0.42%,559.96,-0.42%,2024-12-06,98.24,467.60%,2011-10-04,,548.07,513.37,544.61,525.24,2.39%,1.74%,6.16%,8.62%,922908363,US9229083632
IVV,iShares Core S&P 500 ETF,Equity,599776500000,609.30,0.59%,3342603,508,608.90,608.36,610.74,605.70,608.66,0.46%,605.88,,,,Large Blend,485.19,612.09,6520707,51.26%,0.53%,0.07%,0.03%,BlackRock,S&P 500,2000-05-15,28.09,1.01,61.66,62.56,72.16,7.17,7.65,2.13,1.25%,10.82%,3,35.24%,Quarterly,2024-12-17,2024-12-20,NYSEARCA,North America,United States,Long,Yes,997700000,2.69%,3.87%,10.38%,3.50%,25.71%,38.48%,83.09%,197.95%,443.87%,421.21%,2.69%,4.24%,11.21%,3.50%,27.43%,44.93%,97.96%,257.10%,620.18%,662.44%,27.37%,13.16%,14.63%,13.57%,14.07%,10.69%,25.58%,-0.46%,612.09,-0.46%,2024-12-06,67.22,806.43%,2009-03-06,,598.82,561.16,594.94,574.13,2.41%,1.75%,6.13%,8.58%,464287200,US4642872000
VTI,Vanguard Total Stock Market ETF,Equity,469954560000,300.60,0.49%,3511041,3612,300.59,300.27,301.29,299.14,300.72,0.53%,299.14,300.50,-0.03%,300.60,Large Blend,239.86,302.95,3564093,98.51%,0.48%,,0.03%,Vanguard,CRSP US Total Market,2001-05-24,27.22,1.03,61.94,62.62,71.11,3.57,3.68,0.94,1.22%,7.68%,4,33.27%,Quarterly,2024-12-23,2024-12-26,NYSEARCA,North America,United States,Long,Yes,8365115345,2.50%,4.38%,10.90%,3.72%,25.49%,36.07%,78.50%,187.27%,430.53%,428.20%,2.82%,4.72%,11.60%,3.72%,27.18%,42.40%,92.54%,241.26%,594.98%,662.73%,27.11%,12.50%,13.99%,13.06%,13.80%,10.69%,25.32%,-0.78%,302.95,-0.77%,2024-12-06,29.76,910.08%,2010-05-06,,295.68,276.07,293.16,282.36,2.54%,1.66%,6.46%,8.89%,922908769,US9229087690
QQQ,Invesco QQQ Trust Series I,Equity,324812770000,531.51,1.28%,32748282,102,529.55,529.26,533.82,524.80,529.52,0.90%,524.80,530.34,-0.22%,531.51,Large Growth,413.07,539.15,33583980,97.88%,0.91%,0.37%,0.20%,Invesco,NASDAQ 100 Index,1999-03-10,35.40,1.09,60.29,63.13,76.05,8.71,2.85,0.83,0.54%,12.25%,3,18.96%,Quarterly,2024-12-23,2024-12-31,NASDAQ,,,Long,Yes,622700000,2.48%,7.29%,11.84%,3.97%,26.20%,51.13%,138.05%,420.37%,1068.41%,1334.58%,2.64%,7.46%,12.18%,3.97%,26.94%,54.20%,145.79%,463.20%,1236.02%,1571.26%,26.88%,15.53%,19.70%,18.87%,18.86%,15.12%,28.67%,-1.42%,539.15,-1.42%,2024-12-16,19.76,2589.83%,2002-10-08,,516.37,479.69,518.00,491.29,2.61%,2.93%,8.19%,10.80%,46090E103,US46090E1038
VUG,Vanguard Growth ETF,Equity,158876290000,424.50,1.46%,1203033,182,422.61,421.65,425.65,418.41,422.74,1.04%,418.41,,,,Large Growth,317.59,428.69,1469486,81.87%,1.00%,0.45%,0.04%,Vanguard,CRSP US Large Growth,2004-01-26,40.48,1.12,59.12,65.54,77.51,6.98,1.91,0.53,0.45%,6.14%,2,17.98%,Quarterly,2024-12-23,2024-12-26,NYSEARCA,North America,United States,Long,Yes,970782605,1.61%,7.78%,14.38%,3.43%,32.67%,51.84%,121.09%,310.82%,698.83%,761.93%,1.74%,7.92%,14.66%,3.43%,33.33%,54.61%,128.20%,351.23%,837.40%,966.64%,33.25%,15.63%,17.93%,16.26%,16.09%,12.56%,33.66%,-0.98%,428.69,-0.98%,2024-12-16,32.21,1217.91%,2009-03-06,,413.67,378.24,415.40,388.95,2.19%,2.62%,9.14%,12.23%,922908736,US9229087369
VEA,Vanguard FTSE Developed Markets ETF,Equity,135826880000,49.40,-0.22%,7315281,3926,49.64,49.40,49.64,49.51,49.70,0.38%,49.51,,,,Foreign Large Blend,46.72,53.40,14795393,49.44%,0.26%,-0.48%,0.06%,Vanguard,FTSE Developed ex US All Cap Net Tax (US RIC) Index,2007-07-20,16.15,0.92,59.26,48.94,52.98,0.51,1.61,0.71,3.25%,6.15%,2,52.47%,Quarterly,2024-12-20,,NYSEARCA,Global,,Long,Yes,2798246486,3.85%,-3.59%,-1.83%,3.30%,5.60%,-0.12%,11.51%,28.91%,45.38%,,3.85%,-2.15%,-0.08%,3.30%,9.12%,9.82%,29.66%,74.18%,128.83%,,9.10%,3.17%,5.33%,5.71%,5.67%,,5.74%,-7.49%,53.49,-7.65%,2021-09-03,19.27,156.36%,2009-03-09,,49.15,50.16,48.13,50.28,2.63%,0.52%,-1.74%,-1.51%,921943858,US9219438580
VTV,Vanguard Value ETF,Equity,133110590000,175.97,-0.51%,1997847,341,177.11,175.94,177.12,176.88,,,,,,,Large Value,149.62,182.38,2568695,77.78%,0.13%,-0.64%,0.04%,Vanguard,CRSP US Large Value,2004-01-26,20.52,0.90,60.91,56.53,62.78,1.84,3.92,0.98,2.23%,6.65%,14,45.66%,Quarterly,2024-12-23,2024-12-26,NYSEARCA,North America,United States,Long,Yes,1563912330,3.34%,-0.09%,6.60%,3.94%,17.94%,22.62%,45.55%,111.05%,266.15%,231.64%,3.93%,0.49%,7.78%,3.94%,20.75%,32.26%,65.47%,173.01%,437.82%,462.71%,20.71%,9.77%,10.59%,10.56%,11.87%,9.02%,17.61%,-3.51%,182.38,-3.51%,2024-11-29,28.03,527.79%,2009-03-06,,174.83,168.02,171.15,170.88,2.82%,0.65%,2.98%,4.73%,922908744,US9229087443
BND,Vanguard Total Bond Market ETF,Fixed Income,121800250000,72.01,-0.21%,6613942,15000,72.17,71.97,72.19,72.16,72.19,0.04%,72.16,71.91,-0.14%,72.01,Intermediate Core Bond,70.37,75.67,7435066,88.96%,0.01%,-0.22%,0.03%,Vanguard,Bloomberg US Aggregate - Float Adjusted,2007-04-03,,0.22,49.10,43.73,44.39,0.31,2.64,0.23,3.66%,16.25%,3,,Monthly,2024-12-24,2024-12-27,NASDAQ,North America,United States,Long,Yes,1693523018,-0.28%,-1.81%,-0.98%,0.14%,-0.91%,-13.65%,-14.84%,-13.70%,-9.46%,,0.05%,-0.88%,0.86%,0.14%,2.75%,-5.29%,-2.30%,12.89%,39.32%,,2.74%,-1.79%,-0.46%,1.22%,2.24%,,2.33%,-4.84%,90.91,-20.79%,2007-08-31,67.00,7.48%,2008-10-10,,72.48,72.86,71.79,73.33,0.31%,-0.65%,-1.80%,-1.16%,921937835,US9219378356
AGG,iShares Core U.S. Aggregate Bond ETF,Fixed Income,120066064000,97.01,-0.24%,5360257,12217,97.21,96.96,97.25,97.24,,,,,,,Intermediate Core Bond,94.85,102.04,8799829,60.91%,-0.03%,-0.21%,0.03%,BlackRock,Bloomberg US Aggregate,2003-09-22,124.03,0.20,53.06,45.22,44.95,0.42,3.63,0.32,3.74%,16.73%,3,502.55%,Monthly,2024-12-18,2024-12-23,NYSEARCA,North America,United States,Long,Yes,1240300000,0.29%,-2.29%,-0.83%,0.35%,-0.80%,-13.02%,-13.98%,-12.94%,-6.83%,-5.57%,0.29%,-1.35%,1.05%,0.35%,2.94%,-4.67%,-1.97%,12.50%,39.31%,76.31%,2.93%,-1.58%,-0.40%,1.18%,2.24%,2.88%,2.28%,-4.93%,119.73,-18.78%,2020-08-06,86.80,12.03%,2008-10-10,,97.63,98.19,96.66,98.83,0.60%,-0.40%,-1.61%,-0.97%,464287226,US4642872265
